response_set_id,parent_response_set_id,date_time,page,user,branch,desk,library,Contact Type,Contact Type (text),Question Type,Question Type (text),Reference   Research Type,Reference   Research Type (text),Time Spent in minutes,Comment,Reference   Research Type 2,Reference   Research Type 2 (text),Reference   Research Type 3,Reference   Research Type 3 (text),Reference   Research Type 4,Reference   Research Type 4 (text)
"78206","","2017-10-26 15:37:50","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","","","",""
"78207","","2017-10-26 15:41:21","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","","","",""
"78208","","2017-10-26 15:43:27","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","","","",""
"78209","","2017-10-26 15:44:20","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","","","",""
"78210","","2017-10-26 15:56:25","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","","","",""
"78214","","2017-10-26 16:49:07","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","Personal Email","","Reference / Research Assistance","","Spatial","","10","","","","","","",""
"78308","","2017-10-27 14:01:58","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","2","Student asked where the Special Research Collection is located","","","","","",""
"78315","","2017-10-27 14:30:48","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","2","Students came in wondering if we had printers they could use","","","","","",""
"78330","","2017-10-27 15:26:59","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","1","markers","","","","","",""
"78379","","2017-10-29 15:09:04","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Reference / Research Assistance","","Software help","","","","Spatial","","Content","","Referred to Subject Librarian",""
"78382","","2017-10-29 16:19:33","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","","","",""
"78384","","2017-10-29 16:36:14","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","","","",""
"78533","","2017-10-30 13:03:53","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","","","",""
"78577","","2017-10-30 14:59:17","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","","","",""
"78581","","2017-10-30 15:08:08","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","","","",""
"78595","","2017-10-30 16:03:11","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","1","Expo marker","","","","","",""
"78616","","2017-10-30 17:01:33","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","Software help","","30","R Studio help","","","","","",""
"78632","","2017-10-30 18:16:09","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","1","Student asked to borrow scissors","","","","","",""
"79016","","2017-10-31 11:00:00","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Consultation","","Content","","45","twitter","","","","","",""
"78815","","2017-10-31 14:27:50","Interdisciplinary Researc","jjablonski","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","Collab email","","Reference / Research Assistance","","Software help","","","","Spatial","","","","",""
"78820","","2017-10-31 14:38:52","Interdisciplinary Researc","jjablonski","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","Personal Email","","Reference / Research Assistance","","Software help","","","","Spatial","","","","",""
"79002","","2017-11-01 13:41:11","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Reference / Research Assistance","","Software help","","","","Spatial","","Referred to Subject Librarian","","",""
"79010","","2017-11-01 14:04:34","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Reference / Research Assistance","","Software help","","5","","Spatial","","","","",""
"79012","","2017-11-01 14:27:41","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","","","",""
"79145","","2017-11-02 12:36:33","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","Personal Email","","Directional / Informational","","Content","","5","account problem","Other","icpsr","","","",""
"79163","","2017-11-02 13:35:41","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","wanted to lend out white board markers","","","","","",""
"79192","","2017-11-02 15:54:33","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","","","",""
"79193","","2017-11-02 15:54:36","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Reference / Research Assistance","","Content","","","","","","","","",""
"79258","","2017-11-03 13:07:51","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","1","Student came in asking for the location of a study room they had reserved","","","","","",""
